"","X","siteID","yearID","tot_turnover","gain","loss","jaccard","SITE_TRANS","YEAR","SITE","TRANSECT","DRY_GM2","DRY_GM2_l1","DRY_GM2_l2","DRY_GM2_l3","DRY_GM2_l4","DRY_GM2_l5","TEMP_C","TEMP_C_l1","TEMP_C_l2","TEMP_C_l3","TEMP_C_l4","TEMP_C_l5","chla","chla_l1","chla_l2","chla_l3","chla_l4","chla_l5"
"1",1,9,2,0.285714285714286,0.166666666666667,0.111111111111111,0.714285714285714,"BULL_1",2001,"BULL",1,8.226,19.4226666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,10,2,0.294117647058824,0.1875,0.111111111111111,0.705882352941177,"BULL_3",2001,"BULL",3,26.3306666666667,192.804666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,11,2,0.25,0.133333333333333,0.105263157894737,0.75,"BULL_6",2001,"BULL",6,0,78.0253333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,23,2,0.235294117647059,0.176470588235294,0.0588235294117647,0.764705882352941,"NAPL_1",2001,"NAPL",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,24,2,0.1875,0.117647058823529,0.0588235294117647,0.8125,"NAPL_2",2001,"NAPL",2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,25,2,0.307692307692308,0.214285714285714,0.0769230769230769,0.692307692307692,"NAPL_3",2001,"NAPL",3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,26,2,0.294117647058824,0.214285714285714,0.0714285714285714,0.705882352941177,"NAPL_4",2001,"NAPL",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,27,2,0.294117647058824,0.214285714285714,0.0625,0.705882352941177,"NAPL_5",2001,"NAPL",5,2.35533333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,28,2,0.266666666666667,0.125,0.142857142857143,0.733333333333333,"NAPL_6",2001,"NAPL",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,29,2,0.25,0.166666666666667,0.0666666666666667,0.75,"NAPL_7",2001,"NAPL",7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
