"reach","urbanized","restored","water","observation_date","observer_intitials","transect","location","time_start","time_end","common_name","scientific_name","quantity","surveys_notes","surveys_observation_notes"
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","downstream","south","07:30:00","07:48:00",NA,NA,NA,"start and stop time reflect combined survey time for center and south plots",NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","downstream","center","07:30:00","07:48:00",NA,NA,NA,"start and stop time reflect combined survey time for center and south plots",NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","midstream","center","08:15:00","08:29:00",NA,NA,NA,"start and stop time reflect combined survey time for center and south plots",NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","midstream","south","08:15:00","08:29:00",NA,NA,NA,"start and stop time reflect combined survey time for center and south plots",NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","upstream","south","08:43:00","08:58:00",NA,NA,NA,"Start and stop time reflect combined survey time for center and south plots",NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","upstream","center","08:43:00","08:58:00",NA,NA,NA,"Start and stop time reflect combined survey time for center and south plots",NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","downstream","north","09:40:00","09:56:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","midstream","north","10:14:00","10:31:00",NA,NA,NA,NA,NA
"Priest","Urban","NotRestored","Perennial",2012-03-11,"AEB,HLB,WLC","upstream","north","10:42:00","10:58:00",NA,NA,NA,NA,NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","upstream","north","09:18:00","09:40:00",NA,NA,NA,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","upstream","south","09:18:00","09:40:00",NA,NA,NA,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","upstream","center","09:18:00","09:40:00",NA,NA,NA,"Time for this survey were recorded for the whole transect, not for each plot",NA
"Tonto","NonUrban","NotRestored","Perennial",2012-03-25,"AEB,WLC","midstream","south","09:49:00","10:21:00","Common Side-blotched Lizard","Uta stansburiana",1,"Time for this survey were recorded for the whole transect, not for each plot",NA
